Date,MSCI World Index TR,Barclays Global Aggregate Bond Index TR,Bloomberg Commodity Index TR,S&P 500 Total Return Index,MSCI World Index TR Return,Barclays Global Aggregate Bond Index TR Return,Bloomberg Commodity Index TR Return,S&P 500 Total Return Index Return
2012-07-17,3111.196,455.0558,284.4933,2368.36,0.00307,-0.00107,-0.00187,0.00741
2012-07-18,3136.63,456.4991,288.3187,2384.54,0.00817,0.00317,0.01345,0.00683
2012-07-19,3158.901,457.0171,293.3338,2391.27,0.00710,0.00113,0.01739,0.00282
2012-07-20,3117.242,456.3604,294.0367,2367.26,-0.01319,-0.00144,0.00240,-0.01004
2012-07-21,3117.242,456.3604,294.0367,2367.26,0.00000,0.00000,0.00000,0.00000
2012-07-22,3117.242,456.3604,294.0367,2367.26,0.00000,0.00000,0.00000,0.00000
2012-07-23,3068.398,455.3785,288.9835,2346.22,-0.01567,-0.00215,-0.01719,-0.00889
2012-07-24,3045.292,454.8361,285.837,2325.02,-0.00753,-0.00119,-0.01089,-0.00904
2012-07-25,3042.596,455.1655,287.4832,2324.33,-0.00089,0.00072,0.00576,-0.00030
2012-07-26,3108.671,457.8498,286.4518,2362.85,0.02172,0.00590,-0.00359,0.01657
2012-07-27,3164.98,457.1419,288.578,2408.07,0.01811,-0.00155,0.00742,0.01914
2012-07-28,3164.98,457.1419,288.578,2408.07,0.00000,0.00000,0.00000,0.00000
2012-07-29,3164.98,457.1419,288.578,2408.07,0.00000,0.00000,0.00000,0.00000
2012-07-30,3174.908,457.2402,292.8934,2406.99,0.00314,0.00022,0.01495,-0.00045
2012-07-31,3166.489,458.6267,289.9744,2396.62,-0.00265,0.00303,-0.00997,-0.00431
2012-08-01,3160.539,457.7947,288.3862,2389.73,-0.00188,-0.00181,-0.00548,-0.00287
2012-08-02,3127.369,456.9838,283.0732,2372.31,-0.01050,-0.00177,-0.01842,-0.00729
2012-08-03,3190.034,457.8096,287.4723,2417.77,0.02004,0.00181,0.01554,0.01916
2012-08-04,3190.034,457.8096,287.4723,2417.77,0.00000,0.00000,0.00000,0.00000
2012-08-05,3190.034,457.8096,287.4723,2417.77,0.00000,0.00000,0.00000,0.00000
2012-08-06,3210.95,459.687,287.6587,2423.46,0.00656,0.00410,0.00065,0.00235
2012-08-07,3232.64,458.149,288.9476,2435.88,0.00676,-0.00335,0.00448,0.00512
2012-08-08,3233.653,458.0199,289.6287,2438.16,0.00031,-0.00028,0.00236,0.00094
2012-08-09,3238.523,457.2357,291.1303,2440.23,0.00151,-0.00171,0.00518,0.00085
2012-08-10,3239.999,458.5692,288.0357,2445.64,0.00046,0.00292,-0.01063,0.00222
2012-08-11,3239.999,458.5692,288.0357,2445.64,0.00000,0.00000,0.00000,0.00000
2012-08-12,3239.999,458.5692,288.0357,2445.64,0.00000,0.00000,0.00000,0.00000
2012-08-13,3235.019,458.5482,284.919,2443.05,-0.00154,-0.00005,-0.01082,-0.00106
2012-08-14,3238.41,456.9561,285.3022,2443.16,0.00105,-0.00347,0.00134,0.00005
2012-08-15,3237.885,455.3724,286.1773,2446.82,-0.00016,-0.00347,0.00307,0.00150
2012-08-16,3265.404,455.3148,287.0747,2464.38,0.00850,-0.00013,0.00314,0.00718
2012-08-17,3272.1,454.8415,287.8685,2469,0.00205,-0.00104,0.00277,0.00187
2012-08-18,3272.1,454.8415,287.8685,2469,0.00000,0.00000,0.00000,0.00000
