Date,Trading Index,Open Price,Highest Price,Lowest Price,Settlement Price (yuan/ton),Close Price,Settlement Volume (ton),Turnover (yuan)
2020-12-17,SZA-2019,20.95,25.61,20.95,25.61,25.61,2,46.56
2020-12-17,SZA-2018,26.68,26.68,26.68,26.68,26.68,1,26.68
2020-12-17,SZA-2017,4.52,4.52,4.52,4.52,4.52,1,4.52
2020-12-17,SZA-2016,4.95,,,4.95,4.95,0,0
2015-06-24,SZA-2014,39.6,40,39.6,39.60,39.60,50512,1765157.4
2015-06-24,SZA-2013,39.6,48.4,39.6,48.4,48.4,1464,57983.2
2015-06-23,SZA-2014,39.6,48.4,39.6,44,44,17771,624627.2
2015-06-23,SZA-2013,41.4,44,41.4,44,44,303,12552
2015-06-19,SZA-2014,40.5,44,40.5,44,44,85374,2895996.05
2015-06-19,SZA-2013,41.4,46,41.4,46,46,3642,156439.5
2015-06-18,SZA-2014,43.5,45,42.3,45,45,35924,1314371.87
2020-12-15,SZA-2017,5.02,,,5.02,5.02,0,0
2020-12-15,SZA-2016,4.50,4.50,4.50,4.50,4.50,1,4.50
2020-12-15,SZA-2015,4.55,,,4.55,4.55,0,0
2020-12-15,SZA-2014,33.73,,,33.73,33.73,0,0
2020-12-15,SZA-2013,28.53,28.53,28.53,28.53,28.53,1,28.53
2020-12-14,SZA-2019,28.74,28.74,28.74,28.74,28.74,1,28.74
2020-12-14,SZA-2018,36.59,36.59,36.59,36.59,36.59,1,36.59
2020-12-23,SZA-2013,28.53,,,28.53,28.53,0,0
2020-12-22,SZA-2019,23.05,,,23.05,23.05,0,0
2020-12-22,SZA-2018,21.61,21.61,21.61,21.61,21.61,1,21.61
2020-12-22,SZA-2017,4.52,,,4.52,4.52,0,0
2020-12-22,SZA-2016,5.45,,,5.45,5.45,0,0
2020-12-22,SZA-2015,5.01,,,5.01,5.01,0,0
2020-12-22,SZA-2014,33.73,,,33.73,33.73,0,0
2020-12-25,SZA-2019,18.68,,,18.68,18.68,0,0
2020-12-25,SZA-2018,17.51,,,17.51,17.51,0,0
2020-12-25,SZA-2017,4.52,,,4.52,4.52,0,0
2020-12-25,SZA-2016,6.60,6.60,6.60,6.60,6.60,2,13.2
2020-12-25,SZA-2015,5.01,,,5.01,5.01,0,0
2020-12-25,SZA-2014,33.73,,,33.73,33.73,0,0
2020-12-09,SZA-2019,39.42,39.42,39.42,39.42,39.42,6,236.52
2020-12-09,SZA-2018,50.19,50.19,50.19,50.19,50.19,1,50.19
2020-12-09,SZA-2017,5.02,,,5.02,5.02,0,0
2020-12-09,SZA-2016,4.09,,,4.09,4.09,0,0
2020-12-09,SZA-2015,4.13,5.05,4.13,5.05,5.05,5,22.73
2020-12-09,SZA-2014,33.73,,,33.73,33.73,0,0
2020-12-17,SZA-2015,5.01,,,5.01,5.01,0,0
2020-12-17,SZA-2015,5.01,,,5.01,5.01,0,0
2020-12-17,SZA-2014,33.73,,,33.73,33.73,0,0
2020-12-17,SZA-2013,28.53,,,28.53,28.53,0,0
2020-12-16,SZA-2019,23.28,23.28,23.28,23.28,23.28,1,23.28
2015-06-18,SZA-2013,46,46,46,46,46,5,230
2015-06-17,SZA-2014,43.13,52.71,43.13,47,47,4470,196262.99
