,Date,Settlement Price (yuan/ton),Highest Price,Lowest Price,Settlement Volume (ton),Turnover (yuan),Return,index_y,MSCI World Index TR,Barclays Global Aggregate Bond Index TR,Bloomberg Commodity Index TR,S&P 500 Total Return Index,MSCI World Index TR Return,Barclays Global Aggregate Bond Index TR Return,Bloomberg Commodity Index TR Return,S&P 500 Total Return Index Return
81,2020-07-21,27.78,27.96,27.55,89996.0,2496324.74,0.002526163839769113,3854,6869.834,535.7415,143.5805,6678.74,1.0037236563658072,1.0035451979015035,1.01473258235751,1.001693301037128
82,2020-07-22,27.78,27.8,26.7,112066.0,3107470.27,0.0,3855,6888.321999999999,537.5181,144.5464,6717.29,1.0026911858423362,1.003316151539502,1.006727236637287,1.0057720468232032
83,2020-07-23,27.8,28.5,27.1,125935.0,3500081.27,0.0007199424046075986,3856,6830.528,538.0097,145.369,6635.04,0.9916098579596019,1.00091457385342,1.005690906172689,0.9877554787719453
84,2020-07-24,27.85,28.18,27.73,98535.0,2741515.27,0.0017985611510791253,3857,6781.781,538.7462,145.4245,6594.1,0.9928633628322729,1.0013689344262753,1.000381787038502,0.9938297282307266
85,2020-07-27,27.84,28.22,26.15,107484.0,2985308.36,-0.00035906642728911203,3860,6841.143,541.7927,146.1777,6642.89,1.0087531579094047,1.0056547962658482,1.005179319853257,1.0073990385344473
86,2020-07-28,27.8,27.98,26.88,110112.0,3062645.43,-0.001436781609195359,3861,6806.505999999999,541.7852,146.2388,6599.97,0.9949369571722151,0.999986157067085,1.000417984412123,0.9935389566890315
87,2020-07-29,27.88,28.49,27.15,99254.0,2759834.18,0.002877697841726645,3862,6865.15,542.3468,147.2259,6682.01,1.008615874282635,1.0010365731658968,1.006749918626247,1.0124303595319373
88,2020-07-30,27.88,28.45,27.3,98775.0,2748750.57,0.0,3863,6819.276999999999,543.5113,145.6468,6658.02,0.9933179901385985,1.0021471501260817,0.9892743056758357,0.9964097629306152
89,2020-07-31,27.8,28.14,27.0,113604.0,3159290.08,-0.0028694404591104172,3864,6822.597,543.739,146.55100000000002,6709.81,1.0004868551314166,1.0004189425316456,1.0062081693521587,1.0077785888297122
90,2020-08-03,27.8,28.16,25.23,112667.0,3129675.97,0.0,3867,6879.235,541.7188,149.1733,6758.2,1.0083015309272993,0.9962846144933506,1.0178934295910638,1.0072118286508858
91,2020-08-04,27.85,28.16,25.23,93226.0,2589201.06,0.0017985611510791253,3868,6917.0,543.2571,150.5371,6782.6,1.005489709248194,1.0028396651546891,1.0091423867407907,1.0036104288124057
92,2020-08-05,27.85,28.15,25.35,67400.0,1864724.40,0.0,3869,6973.585,545.0315,151.9202,6826.22,1.008180569611103,1.0032662251445954,1.0091877683308632,1.0064311620912334
93,2020-08-06,27.8,29.4,26.0,89567.0,2478760.53,-0.0017953321364452266,3870,6986.293000000001,545.2036,152.2354,6870.86,1.001822305170153,1.0003157615660747,1.0020747734665962,1.0065394903768117
94,2020-08-07,27.8,28.08,25.21,64730.0,1799207.95,0.0,3871,6975.41,543.462,150.3384,6876.65,0.9984422353886387,0.9968055970283394,0.9875390349419386,1.0008426892703388
95,2020-08-10,27.84,27.96,26.83,98026.0,2724657.71,0.0014388489208632116,3874,6990.055,543.4489,151.3065,6895.59,1.0020995181645238,0.9999758952787867,1.0064394725499273,1.002754248071372
96,2020-08-11,27.77,27.85,27.24,103983.0,2881037.20,-0.0025143678160919336,3875,6985.909000000001,541.3408,149.1477,6840.67,0.9994068716197513,0.9961208864347687,0.9857322719116495,0.9920354893489897
97,2020-08-12,27.87,27.98,25.12,147084.0,4084652.18,0.003601008282319018,3876,7082.08,540.8741,149.9563,6937.44,1.0137664261014565,0.9991378813494199,1.0054214714675453,1.0141462751455632
98,2020-08-13,27.85,27.99,27.63,124446.0,3458160.44,-0.0007176175098672077,3877,7079.139,540.3534,151.1671,6924.96,0.9995847265210221,0.9990372990683044,1.0080743523279783,0.9982010655227289
99,2020-08-14,27.85,27.98,25.22,136868.0,3792210.53,0.0,3878,7062.1630000000005,540.3119,151.1018,6924.28,0.9976019682619596,0.9999231984105218,0.9995680276991488,0.9999018044869573
100,2020-08-17,27.8,27.93,25.21,132897.0,3678627.17,-0.0017953321364452266,3881,7091.235,541.7766,153.6884,6943.22,1.004116585810891,1.0027108416453534,1.0171182606692972,1.0027353024429977
101,2020-08-18,28.99,28.99,25.41,73929.0,2050212.31,0.04280575539568332,3882,7107.7519999999995,543.5261,154.662,6960.3,1.0023292134585866,1.003229190777158,1.0063348958021556,1.0024599537390433
102,2020-08-19,29.45,31.88,28.01,83344.0,2427536.71,0.015867540531217642,3883,7093.9490000000005,543.1836,154.3651,6930.8,0.9980580357896562,0.9993698554678422,0.9980803300099572,0.9957616769392124
103,2020-08-20,29.35,31.0,27.57,92503.0,2685755.43,-0.003395585738539819,3884,7078.829000000001,542.2871,153.187,6952.92,0.9978686060472101,0.9983495451629983,0.9923680935651906,1.003191550758931
104,2020-08-21,29.59,29.96,28.5,72177.0,2096437.02,0.008177172061328841,3885,7087.901999999999,541.5186,152.4965,6977.27,1.0012817091640438,0.9985828539900727,0.9954924373478167,1.0035021257255945
